date,temperature,humidity,luminosity
2022-11-17 15:35:50.479,25.0,37.8,1428
2022-11-17 15:35:45.449,25.0,37.8,1425
2022-11-17 15:35:40.418,25.0,37.8,1430
2022-11-17 15:35:35.387,25.0,37.6,1426
2022-11-17 15:35:30.357,25.0,37.6,1433
2022-11-17 15:35:25.326,25.0,37.5,1428
2022-11-17 15:35:20.296,25.0,37.3,1427
2022-11-17 15:35:15.265,25.0,37.2,1438
2022-11-17 15:35:10.234,25.0,37.2,1434
2022-11-17 15:35:05.203,25.0,37.2,153
2022-11-17 15:35:00.173,25.0,37.2,238
2022-11-17 15:34:55.142,25.0,37.2,1203
2022-11-17 15:34:50.112,25.0,37.1,1140
2022-11-17 15:34:45.081,25.0,37.1,1281
2022-11-17 15:34:40.051,25.0,37.0,1431
2022-11-17 15:34:35.021,24.9,37.0,1446
2022-11-17 15:34:29.991,25.0,37.0,1447
2022-11-17 15:34:24.959,25.0,37.0,1450
2022-11-17 15:34:19.929,25.0,37.0,1446
2022-11-17 15:34:14.898,25.0,37.1,1444
2022-11-17 15:34:09.868,25.0,37.1,1452
2022-11-17 15:34:04.837,25.0,37.2,1447
2022-11-17 15:33:59.806,25.0,37.2,1447
2022-11-17 15:33:54.775,25.0,37.2,1450
2022-11-17 15:33:49.744,25.0,37.2,1445
2022-11-17 15:33:44.714,25.0,37.1,1450
2022-11-17 15:33:39.684,25.0,37.0,1448
2022-11-17 15:33:34.654,25.0,37.1,1414
2022-11-17 15:33:29.623,25.0,37.0,1422
2022-11-17 15:33:24.594,25.0,37.1,1125
2022-11-17 15:33:19.563,25.0,37.1,1467
2022-11-17 15:33:14.533,25.0,37.2,1317
2022-11-17 15:33:09.503,25.0,37.1,1330
2022-11-17 15:33:04.473,25.0,37.1,1471
2022-11-17 15:32:59.443,25.0,37.1,878
2022-11-17 15:32:54.413,25.0,37.2,1131
2022-11-17 15:32:49.382,25.0,37.3,1472
2022-11-17 15:32:44.353,25.0,37.4,1474
2022-11-17 15:32:39.323,25.0,37.5,1435
2022-11-17 15:32:34.292,25.0,37.6,1472
2022-11-17 15:32:29.261,25.0,37.7,1469
2022-11-17 15:32:24.231,25.0,37.7,1466
2022-11-17 15:32:19.201,25.0,37.8,1418
2022-11-17 15:32:14.171,25.0,37.9,1423
2022-11-17 15:32:09.141,25.0,37.9,1444
2022-11-17 15:32:04.111,25.0,37.9,1422
2022-11-17 15:31:59.081,25.0,38.0,1474
2022-11-17 15:31:54.051,25.0,38.2,1470
2022-11-17 15:31:49.021,25.0,38.1,1469
2022-11-17 15:31:43.991,25.0,38.3,1462
2022-11-17 15:31:13.825,24.9,37.7,1412
2022-11-17 15:31:08.795,24.9,37.7,1328
2022-11-17 15:31:03.765,24.9,37.7,1304
2022-11-17 15:30:58.735,24.9,37.8,1409
2022-11-17 15:30:53.706,24.9,38.0,1415
2022-11-17 15:30:48.675,24.9,38.0,1320
2022-11-17 15:30:43.645,24.9,38.2,1306
2022-11-17 15:30:38.614,24.9,38.2,1312
2022-11-17 15:30:33.583,24.9,38.3,1319
2022-11-17 15:30:28.552,24.9,38.6,1335
2022-11-17 15:30:23.521,24.9,38.9,1410
2022-11-17 15:30:18.491,24.9,39.1,975
2022-11-17 15:30:13.461,24.9,39.6,1046
2022-11-17 15:30:08.431,24.8,39.4,965
2022-11-17 15:30:03.402,24.8,39.2,1028
2022-11-17 15:29:58.371,24.8,38.4,975
2022-11-17 15:29:53.342,24.8,38.4,730
2022-11-17 15:29:48.312,24.8,38.4,1281
2022-11-17 15:29:43.282,24.8,38.5,1195
2022-11-17 15:29:38.252,24.8,38.1,1188
2022-11-17 15:29:33.222,24.8,38.0,1164
2022-11-17 15:29:28.191,24.8,37.8,949
2022-11-17 15:29:23.161,24.8,37.8,911
2022-11-17 15:29:18.130,24.8,37.8,816
2022-11-17 15:29:13.100,24.7,37.9,245
2022-11-17 15:29:08.071,24.7,38.0,1437
2022-11-17 15:29:03.039,24.7,38.1,1448
2022-11-17 15:28:58.008,24.7,38.0,1445
2022-11-17 15:28:52.978,24.8,37.7,1449
2022-11-17 15:28:47.948,24.7,37.3,1446
2022-11-17 15:28:42.917,24.8,37.3,1427
2022-11-17 15:28:37.887,24.7,37.3,1425
2022-11-17 15:28:32.856,24.7,37.3,1366
2022-11-17 15:28:27.826,24.7,37.4,1370
2022-11-17 15:28:22.795,24.7,37.5,1295
2022-11-17 15:28:17.765,24.7,37.5,1343
2022-11-17 15:28:12.734,24.7,37.5,1357
2022-11-17 15:28:07.704,24.7,37.6,1321
2022-11-17 15:28:02.673,24.7,37.7,1420
2022-11-17 15:27:57.643,24.7,37.7,1298
2022-11-17 15:27:52.613,24.7,37.7,1335
2022-11-17 15:27:47.583,24.6,37.8,1397
2022-11-17 15:27:42.552,24.6,37.8,1420
2022-11-17 15:27:37.521,24.6,37.8,1425
2022-11-17 15:27:32.490,24.6,37.8,1420
2022-11-17 15:27:27.459,24.6,37.8,1225
2022-11-17 15:27:22.429,24.5,37.7,1420
2022-11-17 15:27:17.399,24.5,37.5,1425
2022-11-17 15:27:12.369,24.5,37.5,1425
2022-11-17 15:27:07.339,24.5,37.4,1381
2022-11-17 15:15:06.509,25.1,44.1,1418
2022-11-17 15:15:01.465,25.0,45.3,1387
2022-11-17 15:14:56.421,25.0,47.2,1760
2022-11-17 15:14:51.379,25.0,48.3,1798
2022-11-17 15:14:46.335,25.0,47.2,857
2022-11-17 15:14:41.291,25.1,42.1,564
2022-11-17 15:14:36.248,25.1,38.4,1812
2022-11-17 15:14:31.205,25.1,38.0,1085
2022-11-17 15:14:26.161,25.1,38.1,1727
2022-11-17 15:14:21.117,25.1,38.2,1734
2022-11-17 15:14:16.073,25.1,38.3,1881
2022-11-17 15:14:11.029,25.1,38.0,1892
2022-11-17 15:14:05.986,25.1,38.0,1890
2022-11-17 15:14:00.944,25.1,37.9,1894
2022-11-17 15:13:55.900,25.1,37.9,1892
2022-11-17 15:13:50.857,25.1,38.0,1895
2022-11-17 15:13:45.813,25.1,38.2,1894
2022-11-17 15:13:40.769,25.1,38.4,1894
2022-11-17 15:13:35.726,25.0,38.5,1895
2022-11-17 15:13:30.683,25.0,38.8,1894
2022-11-17 15:13:25.640,25.1,38.6,1892
2022-11-17 15:13:20.596,25.0,38.0,1891
2022-11-17 15:13:15.553,25.1,37.8,1887
2022-11-17 15:13:10.510,25.0,37.9,1891
2022-11-17 15:13:05.467,25.0,38.2,1894
2022-11-17 15:13:00.425,25.0,38.3,1895
2022-11-17 15:12:55.382,25.0,38.3,1895
2022-11-17 15:12:50.339,25.0,38.3,1893
2022-11-17 15:12:45.296,25.0,38.5,1890
2022-11-17 15:12:40.252,25.0,38.3,1889
2022-11-17 15:12:35.210,25.0,38.3,1888
2022-11-17 15:12:30.166,25.0,38.3,1894
2022-11-17 15:12:25.122,25.1,38.4,1893
2022-11-17 15:12:20.079,25.1,38.8,1889
2022-11-17 15:12:15.035,25.1,38.8,1875
2022-11-17 15:12:09.992,25.1,39.0,1890
